zaman,sembol,fiyat,karar,guven,rsi,fiyat_giris,hedef,stop,ml_karar,lstm_karar,lstm_onay,fiyat_cikis,kar_zarar,sonuc
08.04.2026 17:29,TCELL.IS,112.8,SAT,0.457,45.2
08.04.2026 17:29,SISE.IS,47.5,SAT,0.49,48.7
08.04.2026 17:29,FROTO.IS,102.7,SAT,0.429,38.3
08.04.2026 17:34,AKBNK.IS,76.15,AL,0.404,40.9
08.04.2026 17:34,GARAN.IS,139.0,SAT,0.566,43.2
08.04.2026 17:34,YKBNK.IS,37.76,SAT,0.421,43.5
08.04.2026 17:34,EKGYO.IS,20.76,AL,0.596,37.4
08.04.2026 17:34,PGSUS.IS,188.6,BEKLE,0.432,40.0
08.04.2026 17:34,TCELL.IS,112.5,SAT,0.457,45.2
08.04.2026 17:34,SISE.IS,47.32,SAT,0.49,48.7
08.04.2026 17:34,FROTO.IS,102.5,SAT,0.429,38.3
08.04.2026 17:39,AKBNK.IS,76.15,AL,0.404,40.9
08.04.2026 17:39,GARAN.IS,138.9,SAT,0.566,43.2
08.04.2026 17:39,YKBNK.IS,37.76,SAT,0.421,43.5
08.04.2026 17:39,EKGYO.IS,20.76,AL,0.596,37.4
08.04.2026 17:39,PGSUS.IS,188.5,BEKLE,0.432,40.0
08.04.2026 17:39,TCELL.IS,112.6,SAT,0.457,45.2
08.04.2026 17:39,SISE.IS,47.4,SAT,0.49,48.7
08.04.2026 17:39,FROTO.IS,102.5,SAT,0.429,38.3
08.04.2026 17:44,AKBNK.IS,76.15,AL,0.404,40.9
08.04.2026 17:44,GARAN.IS,138.5,SAT,0.566,43.2
08.04.2026 17:44,YKBNK.IS,37.76,SAT,0.421,43.5
08.04.2026 17:44,EKGYO.IS,20.7,AL,0.596,37.4
08.04.2026 17:44,PGSUS.IS,187.5,BEKLE,0.432,40.0
08.04.2026 17:44,TCELL.IS,112.1,SAT,0.457,45.2
08.04.2026 17:44,SISE.IS,47.2,SAT,0.49,48.7
08.04.2026 17:44,FROTO.IS,102.3,SAT,0.429,38.3
08.04.2026 17:49,AKBNK.IS,76.15,AL,0.404,40.9
08.04.2026 17:49,GARAN.IS,138.1,SAT,0.566,43.2
08.04.2026 17:49,YKBNK.IS,37.74,SAT,0.421,43.5
